DatInicioVigencia,DatFimVigencia,TE,TUSD,TarifaTotal,Reajuste_%_vs_anterior
2026-01-01,2026-11-21,343.37,478.63,822.0,0.0
2025-11-22,2025-12-31,343.37,478.63,822.0,21.95
2024-11-22,2025-11-21,253.03,421.01,674.04,4.82
2023-11-22,2024-11-21,278.56,364.49,643.05,-1.91
2022-11-22,2023-11-21,278.44,377.12,655.56,4.11
2021-11-22,2022-11-21,307.35,322.35,629.7,14.71
2020-11-22,2021-11-21,265.49,283.48,548.97,6.58
2019-11-22,2020-11-21,266.84,248.23,515.07,-5.94
2018-11-22,2019-11-21,316.54,231.06,547.6,8.35
2017-12-21,2018-11-21,272.46,232.96,505.42,29.21
2017-04-01,2017-12-20,208.75,182.41,391.16,-1.47
2016-11-22,2017-03-31,214.58,182.41,396.99,-17.84
2015-10-25,2016-11-21,256.34,226.83,483.17,5.81
2015-03-02,2015-10-24,240.35,216.27,456.62,19.38
2014-10-25,2015-03-01,217.82,164.67,382.49,22.37
2013-10-25,2014-10-24,168.07,144.5,312.57,13.3
2013-01-24,2013-10-24,135.8,140.08,275.88,-18.13
2012-10-25,2013-01-23,150.99,185.99,336.98,-0.95
2011-10-25,2012-10-24,117.54,222.67,340.21,7.52
2010-10-25,2011-10-24,107.56,208.86,316.42,
